   Attribute     Score
41      F21S  1.619958
43      F22S  1.599180
25      F13S  1.439778
42      F22R  1.421335
24      F13R  1.130732
39      F20S  1.070305
40      F21R  0.997356
29      F15S  0.966230
5        F3S  0.847761
23      F12S  0.759493
38      F20R  0.674997
14       F8R  0.655298
28      F15R  0.561546
13       F7S  0.538760
15       F8S  0.533668
3        F2S  0.499881
9        F5S  0.344956
21      F11S  0.318719
35      F18S  0.311783
22      F12R  0.264567
7        F4S  0.253446
1        F1S  0.244524
