       F21S      F22S      F13S      F22R      F20S      F21R      F15S      F13R      F20R       F3S
0  1.000000  0.877703  0.752852  0.780719  0.450495  0.829906  0.415291  0.710082  0.446725  0.666987
1  0.877703  1.000000  0.857752  0.889502  0.513266  0.945543  0.473156  0.809022  0.508971  0.759924
2  0.752852  0.857752  1.000000  0.964306  0.598384  0.907153  0.551623  0.943189  0.593377  0.885948
3  0.780719  0.889502  0.964306  1.000000  0.577026  0.940731  0.531934  0.909523  0.572198  0.854325
4  0.450495  0.513266  0.598384  0.577026  1.000000  0.542826  0.921854  0.634427  0.991632  0.675417
5  0.829906  0.945543  0.907153  0.940731  0.542826  1.000000  0.500407  0.855617  0.538284  0.803690
6  0.415291  0.473156  0.551623  0.531934  0.921854  0.500407  1.000000  0.584849  0.929633  0.622636
7  0.710082  0.809022  0.943189  0.909523  0.634427  0.855617  0.584849  1.000000  0.629118  0.939311
8  0.446725  0.508971  0.593377  0.572198  0.991632  0.538284  0.929633  0.629118  1.000000  0.669766
9  0.666987  0.759924  0.885948  0.854325  0.675417  0.803690  0.622636  0.939311  0.669766  1.000000
