 F21S, F22R, F13S, F3S, F20S, F15S
0.825581,0.709302,0.709302,0.732558,0.686047,0.593023
0.790698,0.616279,0.767442,0.918605,0.813953,0.767442
0.44186,0.55814,0.395349,0.709302,0.604651,0.651163
0.755814,0.651163,0.662791,0.697674,0.813953,0.813953
0.604651,0.534884,0.395349,0.639535,0.709302,0.5
0.77907,0.674419,0.697674,0.825581,0.860465,0.755814
0.813953,0.697674,0.627907,0.790698,0.755814,0.72093
0.744186,0.534884,0.72093,0.802326,0.639535,0.651163
0.77907,0.651163,0.511628,0.744186,0.883721,0.72093
0.616279,0.581395,0.383721,0.674419,0.744186,0.72093
0.674419,0.593023,0.476744,0.662791,0.848837,0.755814
0.813953,0.709302,0.77907,0.77907,0.674419,0.755814
0.77907,0.55814,0.848837,0.744186,0.72093,0.627907
0.767442,0.72093,0.569767,0.662791,0.755814,0.674419
0.744186,0.674419,0.732558,0.767442,0.686047,0.686047
0.72093,0.686047,0.604651,0.616279,0.662791,0.662791
0.383721,0.55814,0.313953,0.5,0.476744,0.651163
0.755814,0.709302,0.604651,0.686047,0.744186,0.662791
0.790698,0.686047,0.802326,0.837209,0.744186,0.674419
0.790698,0.651163,0.709302,0.825581,0.790698,0.732558
0.77907,0.639535,0.837209,0.639535,0.767442,0.744186
0.77907,0.72093,0.72093,0.744186,0.802326,0.523256
0.755814,0.72093,0.767442,0.662791,0.77907,0.465116
0.744186,0.44186,0.5,1.0,0.313953,0.197674
0.5,0.488372,0.662791,0.546512,0.593023,0.44186
0.662791,0.581395,0.581395,0.639535,0.744186,0.77907
0.476744,0.360465,0.593023,0.755814,0.674419,0.732558
0.453488,0.476744,0.476744,0.790698,0.744186,0.651163
0.837209,0.697674,0.755814,0.802326,0.651163,0.697674
0.930233,0.651163,0.790698,0.651163,0.569767,0.511628
0.813953,0.627907,0.790698,0.790698,0.72093,0.72093
0.372093,0.337209,0.395349,0.697674,0.465116,0.372093
0.348837,0.093023,0.267442,0.686047,0.825581,0.732558
0.395349,0.244186,0.406977,0.744186,0.639535,0.674419
0.744186,0.581395,0.651163,0.837209,0.72093,0.755814
0.674419,0.604651,0.802326,0.755814,0.662791,0.77907
0.709302,0.569767,0.511628,0.767442,0.790698,0.744186
0.313953,0.139535,0.127907,0.651163,0.802326,0.790698
0.627907,0.534884,0.476744,0.813953,0.709302,0.616279
0.523256,0.488372,0.651163,0.709302,0.744186,0.651163
0.767442,0.732558,0.639535,0.639535,0.790698,0.767442
0.848837,0.709302,0.744186,0.77907,0.860465,0.767442
0.72093,0.767442,0.72093,0.651163,0.837209,0.72093
0.755814,0.639535,0.755814,0.837209,0.813953,0.825581
0.813953,0.72093,0.709302,0.848837,0.848837,0.755814
0.72093,0.453488,0.662791,0.802326,0.77907,0.616279
0.755814,0.686047,0.767442,0.767442,0.755814,0.72093
0.755814,0.697674,0.732558,0.767442,0.790698,0.755814
0.825581,0.72093,0.72093,0.732558,0.837209,0.744186
0.813953,0.593023,0.662791,0.825581,0.848837,0.825581
0.744186,0.639535,0.77907,0.77907,0.825581,0.837209
0.77907,0.697674,0.616279,0.802326,0.837209,0.755814
0.72093,0.604651,0.686047,0.686047,0.767442,0.767442
0.77907,0.686047,0.651163,0.755814,0.825581,0.767442
0.674419,0.55814,0.709302,0.77907,0.802326,0.837209
0.767442,0.569767,0.709302,0.813953,0.848837,0.790698
0.848837,0.662791,0.802326,0.744186,0.744186,0.72093
0.732558,0.674419,0.639535,0.755814,0.744186,0.697674
0.860465,0.72093,0.767442,0.790698,0.860465,0.697674
0.755814,0.662791,0.732558,0.755814,0.802326,0.767442
0.802326,0.697674,0.639535,0.77907,0.860465,0.755814
0.686047,0.674419,0.627907,0.755814,0.860465,0.709302
0.755814,0.662791,0.674419,0.744186,0.802326,0.813953
0.767442,0.581395,0.790698,0.825581,0.790698,0.790698
0.883721,0.732558,0.709302,0.77907,0.883721,0.790698
0.883721,0.686047,0.77907,0.848837,0.802326,0.802326
0.77907,0.627907,0.732558,0.72093,0.825581,0.755814
0.790698,0.627907,0.813953,0.790698,0.802326,0.837209
0.77907,0.674419,0.686047,0.767442,0.802326,0.72093
0.837209,0.686047,0.860465,0.77907,0.732558,0.755814
0.825581,0.651163,0.697674,0.755814,0.709302,0.674419
0.732558,0.651163,0.744186,0.802326,0.860465,0.848837
0.744186,0.790698,0.755814,0.697674,0.895349,0.732558
0.697674,0.593023,0.77907,0.732558,0.802326,0.802326
0.837209,0.72093,0.709302,0.77907,0.872093,0.755814
0.744186,0.616279,0.674419,0.790698,0.790698,0.767442
0.697674,0.616279,0.883721,0.755814,0.755814,0.860465
0.895349,0.744186,0.790698,0.860465,0.837209,0.767442
0.616279,0.639535,0.523256,0.825581,0.837209,0.767442
0.755814,0.651163,0.697674,0.767442,0.767442,0.755814
0.825581,0.651163,0.77907,0.697674,0.860465,0.744186
0.639535,0.627907,0.662791,0.639535,0.732558,0.709302
0.709302,0.465116,0.627907,0.825581,0.593023,0.662791
0.697674,0.639535,0.662791,0.674419,0.802326,0.767442
0.709302,0.534884,0.744186,0.697674,0.813953,0.790698
